"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,125047,"Lakewood Park","FL","Port St. Lucie","Saint Lucie","Fort Pierce",1482,157200,0.00640204865556978,0.00833867864015394,0.051505016722408,0.161072272416747,0.00225415975161902,"2006-08","2006-Q3",195800,-0.197139938712972,"2005-01"
2018-02-28,273235,"Cheswolde","MD","Baltimore","Baltimore City","Baltimore",1483,294600,0.00170010200612037,0.0300699300699301,0.00477489768076398,0.0402060487032732,0.00520358223235728,"2017-03","2017-Q1",294800,-0.00067842605156038,"2017-03"
2018-02-28,14878,"Ashland","NJ","Philadelphia","Camden","Cherry Hill",1484,223800,-0.000446627958910228,-0.00267379679144385,0.0457943925233645,0.0349270672382178,-0.0065079567657077,"2006-07","2006-Q3",257200,-0.129860031104199,"2005-03"
2018-02-28,273402,"Creston-Kenilworth","OR","Portland","Multnomah","Portland",1485,425600,0.00662251655629139,0.011887779362815,-0.05,0.10554758479356,0.044375043479679,"2017-01","2017-Q1",448300,-0.0506357349988847,"2016-05"
2018-02-28,274559,"Mission-Foothill","CA","San Francisco","Alameda","Hayward",1486,633400,0.00651517559192754,0.0398949269413889,0.15562853493888,0.161676630184326,,"2018-02","2018-Q1",633400,0,"2018-02"
2018-02-28,276565,"Silver Lake","WA","Seattle","Snohomish","Everett",1487,428200,0.00847856806406029,0.0303176130895091,0.168349249658936,0.122479914218991,0.0248497171568645,"2018-02","2018-Q1",428200,0,"2018-02"
2018-02-28,270248,"Princeton Heights","MO","St. Louis","Saint Louis City","Saint Louis",1488,148700,0.00337381916329285,0.00813559322033898,0.0629020729092209,0.0348370744262201,0.00286924301226477,"2007-01","2007-Q1",157200,-0.0540712468193384,"2005-07"
2018-02-28,124309,"Englewood","FL","Jacksonville","Duval","Jacksonville",1489,155100,0.0130633572828217,0.0522388059701493,0.175,0.132111363014499,0.000517264816667362,"2007-08","2007-Q3",159500,-0.0275862068965517,"2006-10"
2018-02-28,274262,"Lakewood Village","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1490,729500,-0.00491065338971491,-0.00273410799726589,0.0454284895385497,0.0745518600120276,0.0149493508835543,"2006-07","2006-Q3",747900,-0.0246022195480679,"2006-06"
2018-02-28,270528,"Trumbull Village","NM","Albuquerque","Bernalillo","Albuquerque",1491,129500,0.00232198142414861,0.0245253164556962,0.0125097732603597,0.0375542484261728,-0.00145546227701254,"2009-05","2009-Q2",155200,-0.165592783505155,"2006-11"
2018-02-28,274513,"Mid Central","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Pasadena",1492,675600,0.00850873264666368,0.0445269016697588,0.122259136212625,0.0839908522629633,0.0276749176034929,"2018-02","2018-Q1",675600,0,"2018-02"
2018-02-28,271809,"Bemiss","WA","Spokane","Spokane","Spokane",1493,138500,0.0153958944281525,0.0653846153846154,0.162888329135181,0.100762916662654,0.0177107560316712,"2018-02","2018-Q1",138500,0,"2018-02"
2018-02-28,343875,"South Central","NC","Raleigh","Wake","Raleigh",1494,145700,0.028954802259887,0.0873134328358209,0.304386750223814,0.0892992115800439,0.0377342653413248,"2018-02","2018-Q1",145700,0,"2018-02"
2018-02-28,250017,"Ballard","WA","Seattle","King","Seattle",1495,659700,0.00871559633027523,0.0299765807962529,0.146506777893639,0.130732792118186,0.051016132396253,"2018-02","2018-Q1",659700,0,"2018-02"
2018-02-28,276513,"Piper Glen","NC","Charlotte","Mecklenburg","Charlotte",1496,397200,0.00455235204855842,0.0208172706245181,0.0909090909090909,0.0667785586673499,0.020326865555911,"2018-02","2018-Q1",397200,0,"2018-02"
2018-02-28,271669,"Capitol Hill","UT","Salt Lake City","Salt Lake","Salt Lake City",1497,331000,0.0144039227704566,0.0497938471297177,0.172511512575275,0.0726477942977988,0.0160421190061719,"2018-02","2018-Q1",331000,0,"2018-02"
2018-02-28,274666,"New Tampa","FL","Tampa","Hillsborough","Tampa",1498,274700,0.00659582264565775,0.0155268022181146,0.0626692456479691,0.0618394322426985,,"2018-02","2018-Q1",274700,0,"2018-02"
2018-02-28,623394,"Old City","PA","Philadelphia","Philadelphia","Philadelphia",1499,327500,-0.00667273278738247,-0.00997581620314389,0.0139318885448916,0.0354105241878868,-0.00527857403896559,"2008-07","2008-Q3",362200,-0.0958034235229155,"2006-09"
2018-02-28,250801,"Haller Lake","WA","Seattle","King","Seattle",1500,599400,0.0106221547799696,0.0386414832784613,0.211398544866613,0.142587910655922,0.0491137484682658,"2018-02","2018-Q1",599400,0,"2018-02"
2018-02-28,343245,"Otay Ranch Village 5","CA","San Diego","San Diego","Chula Vista",1501,545300,0.0100018521948509,0.0271237521190431,0.0685871056241427,0.0939847064591992,0.0170459771249645,"2006-06","2006-Q2",591400,-0.0779506256340886,"2004-11"
2018-02-28,271570,"South Lamar","TX","Austin","Travis","Austin",1502,398500,0.00911623195745758,0.0291838842975207,0.0289181513038988,0.0887398509623707,,"2018-02","2018-Q1",398500,0,"2018-02"
2018-02-28,199607,"Bond Hill","OH","Cincinnati","Hamilton","Cincinnati",1503,87200,0.00229885057471264,0.0104287369640788,0.122265122265122,0.055062361490561,0.000459876635714895,"2005-11","2005-Q4",95900,-0.0907194994786236,"2002-05"
2018-02-28,193771,"Charlotte","NY","Rochester","Monroe","Rochester",1504,97700,0.00825593395252838,-0.0180904522613065,-0.022022022022022,0.0331497959766072,0.0210855673246744,"2017-04","2017-Q2",103700,-0.0578592092574735,"2016-03"
2018-02-28,276500,"Old Seminole Heights","FL","Tampa","Hillsborough","Tampa",1505,159500,0.0107731305449937,0.0217809096732864,0.113826815642458,0.177373655815856,-0.00320303081256335,"2006-12","2006-Q4",180700,-0.11732152739347,"2006-01"
2018-02-28,275819,"University of Ohio Akron","OH","Akron","Summit","Akron",1506,57100,0.00705467372134039,0.0232974910394265,0.0980769230769231,0.0302300209634017,,"2018-02","2018-Q1",57100,0,"2018-02"
2018-02-28,274940,"Pacific Edison","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Glendale",1507,526700,0.0187620889748549,0.0649009300444804,0.197589813551614,0.133407634254161,0.0134344446494381,"2018-02","2018-Q1",526700,0,"2018-02"
2018-02-28,113688,"Bel Air","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1508,3526800,0.00230198652911587,0.012459091692025,0.08038230608994,0.0762226798552172,0.0351456158175958,"2018-02","2018-Q1",3526800,0,"2018-02"
2018-02-28,17556,"Congers","NY","New York","Rockland","Clarkstown",1509,406500,0.000246062992125984,0.00395159298592245,0.0596976016684046,0.0313272209679183,-0.012116192210232,"2006-10","2006-Q4",497400,-0.182750301568154,"2004-03"
2018-02-28,275055,"Pleasant Valley","OR","Portland","Multnomah","Portland",1510,393200,0.00717213114754098,0.0260960334029228,0.0322919401417695,0.0982478938895852,0.0217109151205161,"2018-02","2018-Q1",393200,0,"2018-02"
2018-02-28,7663,"Valley Cottage","NY","New York","Rockland","Clarkstown",1511,387400,0.000774993541720486,0.00466804979253112,0.105909220667999,0.0266877658996321,-0.0117262165108615,"2006-02","2006-Q1",476200,-0.186476270474591,"2004-07"
2018-02-28,247937,"Thoroughgood","VA","Virginia Beach","Virginia Beach City","Virginia Beach",1512,363900,0.00275558004960044,0.0108333333333333,0.0173329605814929,0.0285644549966124,0.000385537332759478,"2007-06","2007-Q2",387300,-0.0604182804027885,"2005-10"
2018-02-28,271648,"Willowbrook","TX","Houston","Harris","Houston",1513,179000,-0.00167317345231456,0.0193621867881549,0.155584247901872,0.0727449955131596,0.0239319318600963,"2018-01","2018-Q1",179300,-0.00167317345231456,"2018-01"
2018-02-28,276457,"Mission-Garin","CA","San Francisco","Alameda","Hayward",1514,578900,0.00433726578764747,0.0491119971003987,0.122116689280868,,,"2018-02","2018-Q1",578900,0,"2018-02"
2018-02-28,276529,"Reservoir","AR","Little Rock","Pulaski","Little Rock",1515,178200,0.0119250425894378,0.0125,0.0439367311072056,0.0144070590994874,0.00573220797344276,"2018-02","2018-Q1",178200,0,"2018-02"
2018-02-28,256657,"Lake","CA","San Francisco","San Francisco","San Francisco",1516,2539700,0.00256592452234328,0.0156362473006478,0.0837209302325582,0.126418724526405,,"2018-02","2018-Q1",2539700,0,"2018-02"
2018-02-28,273034,"Brick Church Bellshire","TN","Nashville","Davidson","Nashville",1517,195500,0.00307850179579271,0.022489539748954,0.230333543108873,0.131302795843492,0.0454892438110126,"2018-02","2018-Q1",195500,0,"2018-02"
2018-02-28,274178,"Kenwood","IL","Chicago","Cook","Chicago",1518,187300,0.00915948275862069,0.00861604738826064,-0.0116094986807388,0.0455558322171508,-0.0241213423743584,"2007-08","2007-Q3",240400,-0.220881863560732,"2002-10"
